ref_area.label,indicator.label,source.label,sex.label,time,obs_value,obs_status.label,note_indicator.label,note_source.label
Albania,Mean weekly hours usually worked per employed person by sex,ALB - LFS - Labour Force Survey,Sex: Total,2014,39,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Population coverage: Excluding both institutional population and armed forces and/or conscripts
Albania,Mean weekly hours usually worked per employed person by sex,ALB - LFS - Labour Force Survey,Sex: Male,2014,42,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Population coverage: Excluding both institutional population and armed forces and/or conscripts
Albania,Mean weekly hours usually worked per employed person by sex,ALB - LFS - Labour Force Survey,Sex: Female,2014,36,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Population coverage: Excluding both institutional population and armed forces and/or conscripts
Albania,Mean weekly hours usually worked per employed person by sex,ALB - LFS - Labour Force Survey,Sex: Total,2015,38.837517854,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Working time concept: Hours actually worked,Population coverage: Excluding both institutional population and armed forces and/or conscripts
Albania,Mean weekly hours usually worked per employed person by sex,ALB - LFS - Labour Force Survey,Sex: Male,2015,40.835515642,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Working time concept: Hours actually worked,Population coverage: Excluding both institutional population and armed forces and/or conscripts
Albania,Mean weekly hours usually worked per employed person by sex,ALB - LFS - Labour Force Survey,Sex: Female,2015,36.161653045,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Working time concept: Hours actually worked,Population coverage: Excluding both institutional population and armed forces and/or conscripts
Armenia,Mean weekly hours usually worked per employed person by sex,ARM - LFS - Household Labour Force Survey,Sex: Total,2008,42.8442,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,Mean weekly hours usually worked per employed person by sex,ARM - LFS - Household Labour Force Survey,Sex: Male,2008,46.0692,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,Mean weekly hours usually worked per employed person by sex,ARM - LFS - Household Labour Force Survey,Sex: Female,2008,38.8582,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,Mean weekly hours usually worked per employed person by sex,ARM - LFS - Household Labour Force Survey,Sex: Total,2014,41.0041,Break in series,Job coverage: Main job currently held | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,Mean weekly hours usually worked per employed person by sex,ARM - LFS - Household Labour Force Survey,Sex: Male,2014,45.1614,Break in series,Job coverage: Main job currently held | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,Mean weekly hours usually worked per employed person by sex,ARM - LFS - Household Labour Force Survey,Sex: Female,2014,36.5005,Break in series,Job coverage: Main job currently held | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,Mean weekly hours usually worked per employed person by sex,ARM - LFS - Household Labour Force Survey,Sex: Total,2015,38.4452,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,Mean weekly hours usually worked per employed person by sex,ARM - LFS - Household Labour Force Survey,Sex: Male,2015,42.5092,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,Mean weekly hours usually worked per employed person by sex,ARM - LFS - Household Labour Force Survey,Sex: Female,2015,33.9679,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,Mean weekly hours usually worked per employed person by sex,ARM - LFS - Household Labour Force Survey,Sex: Total,2016,38.295,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,Mean weekly hours usually worked per employed person by sex,ARM - LFS - Household Labour Force Survey,Sex: Male,2016,41.9909,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,Mean weekly hours usually worked per employed person by sex,ARM - LFS - Household Labour Force Survey,Sex: Female,2016,34.2109,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,Mean weekly hours usually worked per employed person by sex,ARM - LFS - Household Labour Force Survey,Sex: Total,2017,38.7329,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,Mean weekly hours usually worked per employed person by sex,ARM - LFS - Household Labour Force Survey,Sex: Male,2017,42.0909,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,Mean weekly hours usually worked per employed person by sex,ARM - LFS - Household Labour Force Survey,Sex: Female,2017,35.0416,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Australia,Mean weekly hours usually worked per employed person by sex,AUS - LFS - Labour Force Survey,Sex: Total,2001,36.998664,,,
Australia,Mean weekly hours usually worked per employed person by sex,AUS - LFS - Labour Force Survey,Sex: Male,2001,41.882957,,,
Australia,Mean weekly hours usually worked per employed person by sex,AUS - LFS - Labour Force Survey,Sex: Female,2001,30.910901,,,
Australia,Mean weekly hours usually worked per employed person by sex,AUS - LFS - Labour Force Survey,Sex: Total,2002,36.854564,,,
Australia,Mean weekly hours usually worked per employed person by sex,AUS - LFS - Labour Force Survey,Sex: Male,2002,41.688706,,,
Australia,Mean weekly hours usually worked per employed person by sex,AUS - LFS - Labour Force Survey,Sex: Female,2002,30.822084,,,
Australia,Mean weekly hours usually worked per employed person by sex,AUS - LFS - Labour Force Survey,Sex: Total,2003,36.782559,,,
Australia,Mean weekly hours usually worked per employed person by sex,AUS - LFS - Labour Force Survey,Sex: Male,2003,41.626293,,,
Australia,Mean weekly hours usually worked per employed person by sex,AUS - LFS - Labour Force Survey,Sex: Female,2003,30.800741,,,
Australia,Mean weekly hours usually worked per employed person by sex,AUS - LFS - Labour Force Survey,Sex: Total,2004,36.827731,,,
Australia,Mean weekly hours usually worked per employed person by sex,AUS - LFS - Labour Force Survey,Sex: Male,2004,41.54027,,,
Australia,Mean weekly hours usually worked per employed person by sex,AUS - LFS - Labour Force Survey,Sex: Female,2004,30.970222,,,
Australia,Mean weekly hours usually worked per employed person by sex,AUS - LFS - Labour Force Survey,Sex: Total,2005,36.777347,,,
Australia,Mean weekly hours usually worked per employed person by sex,AUS - LFS - Labour Force Survey,Sex: Male,2005,41.481114,,,
Australia,Mean weekly hours usually worked per employed person by sex,AUS - LFS - Labour Force Survey,Sex: Female,2005,31.007198,,,
Australia,Mean weekly hours usually worked per employed person by sex,AUS - LFS - Labour Force Survey,Sex: Total,2006,36.642566,,,
Australia,Mean weekly hours usually worked per employed person by sex,AUS - LFS - Labour Force Survey,Sex: Male,2006,41.241395,,,
Australia,Mean weekly hours usually worked per employed person by sex,AUS - LFS - Labour Force Survey,Sex: Female,2006,31.041197,,,
Australia,Mean weekly hours usually worked per employed person by sex,AUS - LFS - Labour Force Survey,Sex: Total,2007,36.756389,,,
Australia,Mean weekly hours usually worked per employed person by sex,AUS - LFS - Labour Force Survey,Sex: Male,2007,41.278243,,,
Australia,Mean weekly hours usually worked per employed person by sex,AUS - LFS - Labour Force Survey,Sex: Female,2007,31.243257,,,
Australia,Mean weekly hours usually worked per employed person by sex,AUS - LFS - Labour Force Survey,Sex: Total,2008,36.749104,,,
Australia,Mean weekly hours usually worked per employed person by sex,AUS - LFS - Labour Force Survey,Sex: Male,2008,41.232373,,,
Australia,Mean weekly hours usually worked per employed person by sex,AUS - LFS - Labour Force Survey,Sex: Female,2008,31.314267,,,
Australia,Mean weekly hours usually worked per employed person by sex,AUS - LFS - Labour Force Survey,Sex: Total,2009,36.339,,,
Australia,Mean weekly hours usually worked per employed person by sex,AUS - LFS - Labour Force Survey,Sex: Male,2009,40.762928,,,
Australia,Mean weekly hours usually worked per employed person by sex,AUS - LFS - Labour Force Survey,Sex: Female,2009,31.059462,,,
Australia,Mean weekly hours usually worked per employed person by sex,AUS - LFS - Labour Force Survey,Sex: Total,2010,36.234407,,,
Australia,Mean weekly hours usually worked per employed person by sex,AUS - LFS - Labour Force Survey,Sex: Male,2010,40.613855,,,
Australia,Mean weekly hours usually worked per employed person by sex,AUS - LFS - Labour Force Survey,Sex: Female,2010,30.96124,,,
Australia,Mean weekly hours usually worked per employed person by sex,AUS - LFS - Labour Force Survey,Sex: Total,2011,36.264679,,,
Australia,Mean weekly hours usually worked per employed person by sex,AUS - LFS - Labour Force Survey,Sex: Male,2011,40.67143,,,
Australia,Mean weekly hours usually worked per employed person by sex,AUS - LFS - Labour Force Survey,Sex: Female,2011,30.992125,,,
Australia,Mean weekly hours usually worked per employed person by sex,AUS - LFS - Labour Force Survey,Sex: Total,2012,36.311524,,,
Australia,Mean weekly hours usually worked per employed person by sex,AUS - LFS - Labour Force Survey,Sex: Male,2012,40.742339,,,
Australia,Mean weekly hours usually worked per employed person by sex,AUS - LFS - Labour Force Survey,Sex: Female,2012,31.04285,,,
Australia,Mean weekly hours usually worked per employed person by sex,AUS - LFS - Labour Force Survey,Sex: Total,2013,36.159891,,,
Australia,Mean weekly hours usually worked per employed person by sex,AUS - LFS - Labour Force Survey,Sex: Male,2013,40.501029,,,
Australia,Mean weekly hours usually worked per employed person by sex,AUS - LFS - Labour Force Survey,Sex: Female,2013,31.030637,,,
Australia,Mean weekly hours usually worked per employed person by sex,AUS - LFS - Labour Force Survey,Sex: Total,2014,35.910848,,,
Australia,Mean weekly hours usually worked per employed person by sex,AUS - LFS - Labour Force Survey,Sex: Male,2014,40.197866,,,
Australia,Mean weekly hours usually worked per employed person by sex,AUS - LFS - Labour Force Survey,Sex: Female,2014,30.863437,,,
Australia,Mean weekly hours usually worked per employed person by sex,AUS - LFS - Labour Force Survey,Sex: Total,2015,35.947195,,,
Australia,Mean weekly hours usually worked per employed person by sex,AUS - LFS - Labour Force Survey,Sex: Male,2015,40.092389,,,
Australia,Mean weekly hours usually worked per employed person by sex,AUS - LFS - Labour Force Survey,Sex: Female,2015,31.098267,,,
Bangladesh,Mean weekly hours usually worked per employed person by sex,BGD - LFS - Labour Force Survey,Sex: Total,2017,48.6043,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Bangladesh,Mean weekly hours usually worked per employed person by sex,BGD - LFS - Labour Force Survey,Sex: Male,2017,54.1147,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Bangladesh,Mean weekly hours usually worked per employed person by sex,BGD - LFS - Labour Force Survey,Sex: Female,2017,34.3561,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,Mean weekly hours usually worked per employed person by sex,BIH - LFS - Labour Force Survey,Sex: Total,2006,44.1885,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,Mean weekly hours usually worked per employed person by sex,BIH - LFS - Labour Force Survey,Sex: Male,2006,45.2402,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,Mean weekly hours usually worked per employed person by sex,BIH - LFS - Labour Force Survey,Sex: Female,2006,42.2238,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,Mean weekly hours usually worked per employed person by sex,BIH - LFS - Labour Force Survey,Sex: Total,2007,43.0499,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,Mean weekly hours usually worked per employed person by sex,BIH - LFS - Labour Force Survey,Sex: Male,2007,43.9217,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,Mean weekly hours usually worked per employed person by sex,BIH - LFS - Labour Force Survey,Sex: Female,2007,41.388,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,Mean weekly hours usually worked per employed person by sex,BIH - LFS - Labour Force Survey,Sex: Total,2008,43.0882,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,Mean weekly hours usually worked per employed person by sex,BIH - LFS - Labour Force Survey,Sex: Male,2008,44.2274,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,Mean weekly hours usually worked per employed person by sex,BIH - LFS - Labour Force Survey,Sex: Female,2008,41.0283,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,Mean weekly hours usually worked per employed person by sex,BIH - LFS - Labour Force Survey,Sex: Total,2009,42.6617,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,Mean weekly hours usually worked per employed person by sex,BIH - LFS - Labour Force Survey,Sex: Male,2009,43.5663,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,Mean weekly hours usually worked per employed person by sex,BIH - LFS - Labour Force Survey,Sex: Female,2009,41.1257,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,Mean weekly hours usually worked per employed person by sex,BIH - LFS - Labour Force Survey,Sex: Total,2010,42.2213,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,Mean weekly hours usually worked per employed person by sex,BIH - LFS - Labour Force Survey,Sex: Male,2010,43.2312,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,Mean weekly hours usually worked per employed person by sex,BIH - LFS - Labour Force Survey,Sex: Female,2010,40.5016,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,Mean weekly hours usually worked per employed person by sex,BIH - LFS - Labour Force Survey,Sex: Total,2011,41.8285,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,Mean weekly hours usually worked per employed person by sex,BIH - LFS - Labour Force Survey,Sex: Male,2011,42.6471,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,Mean weekly hours usually worked per employed person by sex,BIH - LFS - Labour Force Survey,Sex: Female,2011,40.4412,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,Mean weekly hours usually worked per employed person by sex,BIH - LFS - Labour Force Survey,Sex: Total,2012,42.4565,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,Mean weekly hours usually worked per employed person by sex,BIH - LFS - Labour Force Survey,Sex: Male,2012,43.2549,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,Mean weekly hours usually worked per employed person by sex,BIH - LFS - Labour Force Survey,Sex: Female,2012,41.0894,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,Mean weekly hours usually worked per employed person by sex,BIH - LFS - Labour Force Survey,Sex: Total,2013,42.2185,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,Mean weekly hours usually worked per employed person by sex,BIH - LFS - Labour Force Survey,Sex: Male,2013,43.0086,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,Mean weekly hours usually worked per employed person by sex,BIH - LFS - Labour Force Survey,Sex: Female,2013,40.8907,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,Mean weekly hours usually worked per employed person by sex,BIH - LFS - Labour Force Survey,Sex: Total,2014,42.3732,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,Mean weekly hours usually worked per employed person by sex,BIH - LFS - Labour Force Survey,Sex: Male,2014,43.0228,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,Mean weekly hours usually worked per employed person by sex,BIH - LFS - Labour Force Survey,Sex: Female,2014,41.2709,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,Mean weekly hours usually worked per employed person by sex,BIH - LFS - Labour Force Survey,Sex: Total,2015,42.1978,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,Mean weekly hours usually worked per employed person by sex,BIH - LFS - Labour Force Survey,Sex: Male,2015,43.0657,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,Mean weekly hours usually worked per employed person by sex,BIH - LFS - Labour Force Survey,Sex: Female,2015,40.7401,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,Mean weekly hours usually worked per employed person by sex,BIH - LFS - Labour Force Survey,Sex: Total,2016,42.4566,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,Mean weekly hours usually worked per employed person by sex,BIH - LFS - Labour Force Survey,Sex: Male,2016,43.3312,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,Mean weekly hours usually worked per employed person by sex,BIH - LFS - Labour Force Survey,Sex: Female,2016,40.8947,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,Mean weekly hours usually worked per employed person by sex,BIH - LFS - Labour Force Survey,Sex: Total,2017,41.5886,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,Mean weekly hours usually worked per employed person by sex,BIH - LFS - Labour Force Survey,Sex: Male,2017,42.2863,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,Mean weekly hours usually worked per employed person by sex,BIH - LFS - Labour Force Survey,Sex: Female,2017,40.4312,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,Mean weekly hours usually worked per employed person by sex,BIH - LFS - Labour Force Survey,Sex: Total,2018,42.2628,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,Mean weekly hours usually worked per employed person by sex,BIH - LFS - Labour Force Survey,Sex: Male,2018,43.1242,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,Mean weekly hours usually worked per employed person by sex,BIH - LFS - Labour Force Survey,Sex: Female,2018,40.8191,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,Mean weekly hours usually worked per employed person by sex,BIH - LFS - Labour Force Survey,Sex: Total,2019,41.5627,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,Mean weekly hours usually worked per employed person by sex,BIH - LFS - Labour Force Survey,Sex: Male,2019,42.2919,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,Mean weekly hours usually worked per employed person by sex,BIH - LFS - Labour Force Survey,Sex: Female,2019,40.3915,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Belize,Mean weekly hours usually worked per employed person by sex,BLZ - LFS - Labour force survey,Sex: Total,2015,50,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Data reference period: April
Belize,Mean weekly hours usually worked per employed person by sex,BLZ - LFS - Labour force survey,Sex: Male,2015,52,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Data reference period: April
Belize,Mean weekly hours usually worked per employed person by sex,BLZ - LFS - Labour force survey,Sex: Female,2015,46,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Data reference period: April
Bolivia,Mean weekly hours usually worked per employed person by sex,BOL - LFS - Encuesta Continua de Empleo,Sex: Total,2013,44,,Time unit: Per month,Data reference period: End of the year
Bolivia,Mean weekly hours usually worked per employed person by sex,BOL - LFS - Encuesta Continua de Empleo,Sex: Male,2013,46.5,,Time unit: Per month,Data reference period: End of the year
Bolivia,Mean weekly hours usually worked per employed person by sex,BOL - LFS - Encuesta Continua de Empleo,Sex: Female,2013,40.9,,Time unit: Per month,Data reference period: End of the year
Bolivia,Mean weekly hours usually worked per employed person by sex,BOL - LFS - Encuesta Continua de Empleo,Sex: Total,2016,43.1335,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Bolivia,Mean weekly hours usually worked per employed person by sex,BOL - LFS - Encuesta Continua de Empleo,Sex: Male,2016,46.0168,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Bolivia,Mean weekly hours usually worked per employed person by sex,BOL - LFS - Encuesta Continua de Empleo,Sex: Female,2016,39.3107,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Bolivia,Mean weekly hours usually worked per employed person by sex,BOL - LFS - Encuesta Continua de Empleo,Sex: Total,2017,41.3475,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Bolivia,Mean weekly hours usually worked per employed person by sex,BOL - LFS - Encuesta Continua de Empleo,Sex: Male,2017,44.4173,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Bolivia,Mean weekly hours usually worked per employed person by sex,BOL - LFS - Encuesta Continua de Empleo,Sex: Female,2017,37.4593,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Bolivia,Mean weekly hours usually worked per employed person by sex,BOL - LFS - Encuesta Continua de Empleo,Sex: Total,2018,40.5791,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Bolivia,Mean weekly hours usually worked per employed person by sex,BOL - LFS - Encuesta Continua de Empleo,Sex: Male,2018,43.9781,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Bolivia,Mean weekly hours usually worked per employed person by sex,BOL - LFS - Encuesta Continua de Empleo,Sex: Female,2018,36.5368,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
Bolivia,Mean weekly hours usually worked per employed person by sex,BOL - HIES - Encuesta de Hogares,Sex: Total,2005,46.0778,Break in series,Job coverage: Main job currently held | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Bolivia,Mean weekly hours usually worked per employed person by sex,BOL - HIES - Encuesta de Hogares,Sex: Male,2005,48.8593,Break in series,Job coverage: Main job currently held | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Bolivia,Mean weekly hours usually worked per employed person by sex,BOL - HIES - Encuesta de Hogares,Sex: Female,2005,42.6407,Break in series,Job coverage: Main job currently held | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Bolivia,Mean weekly hours usually worked per employed person by sex,BOL - HIES - Encuesta de Hogares,Sex: Total,2006,45.3288,,Job coverage: Main job currently held,Repository: ILO-STATISTICS - Micro data processing
